year;director;genre;film;winner
1991;Barbet Schroeder;;Reversal of Fortune;FALSE
1992;John Singleton;;Boyz N the Hood;FALSE
1992;Barry Levinson;;Bugsy;FALSE
1992;Oliver Stone;;JFK;FALSE
1992;Jonathan Demme;;The Silence of the Lambs;TRUE
1992;Ridley Scott;;Thelma & Louise;FALSE
1993;Neil Jordan;;The Crying Game;FALSE
1993;James Ivory;;Howards End;FALSE
1993;Robert Altman;;The Player;FALSE
1993;Martin Brest;;Scent of a Woman;FALSE
1993;Clint Eastwood;;Unforgiven;TRUE
1994;Jim Sheridan;;In the Name of the Father;FALSE
1994;Jane Campion;;The Piano;FALSE
1994;James Ivory;;The Remains of the Day;FALSE
1994;Steven Spielberg;;Schindler's List;TRUE
1994;Robert Altman;;Short Cuts;FALSE
1995;Woody Allen;;Bullets over Broadway;FALSE
1995;Robert Zemeckis;;Forrest Gump;TRUE
1995;Quentin Tarantino;;Pulp Fiction;FALSE
1995;Robert Redford;;Quiz Show;FALSE
1995;Krzysztof Kieslowski;;Red;FALSE
1996;Chris Noonan;;Babe;FALSE
1996;Mel Gibson;;Braveheart;TRUE
1996;Tim Robbins;;Dead Man Walking;FALSE
1996;Mike Figgis;;Leaving Las Vegas;FALSE
1996;Michael Radford;;The Postman (Il Postino);FALSE
1997;Anthony Minghella;;The English Patient;TRUE
1997;Joel Coen;;Fargo;FALSE
1997;Milos Forman;;The People vs. Larry Flynt;FALSE
1997;Mike Leigh;;Secrets & Lies;FALSE
1997;Scott Hicks;;Shine;FALSE
1998;Peter Cattaneo;;The Full Monty;FALSE
1998;Gus Van Sant;;Good Will Hunting;FALSE
1998;Curtis Hanson;;L.A. Confidential;FALSE
1998;Atom Egoyan;;The Sweet Hereafter;FALSE
1998;James Cameron;;Titanic;TRUE
1999;Roberto Benigni;;Life Is Beautiful;FALSE
1999;Steven Spielberg;;Saving Private Ryan;TRUE
1999;John Madden;;Shakespeare in Love;FALSE
1999;Terrence Malick;;The Thin Red Line;FALSE
1999;Peter Weir;;The Truman Show;FALSE
2000;Sam Mendes;;American Beauty;TRUE
2000;Spike Jonze;;Being John Malkovich;FALSE
2000;Lasse Hallstrm;;The Cider House Rules;FALSE
2000;Michael Mann;;The Insider;FALSE
2000;M. Night Shyamalan;;The Sixth Sense;FALSE
